bgc,Actual,All,BioClim,Gini16,NoMonth,NzvCorr,Will35
SBSdk,10.620938265,18.7358062174,9.0942390112,9.7860895625,18.6433839627,12.6068389462,15.5031057644
SBSdw1,3.9946644389,0.703905628,2.2306048818,5.6851464589,3.5622058828,0.0731618448,7.8402339062
SBSdw2,5.2880217483,5.7289327145,5.4763303602,13.843939231,7.2036704308,1.1383040815,7.4336868368
SBSdw3,9.7163918202,0.7817786522,0.6996101409,1.8577288887,0.8517535227,1.5642501249,3.8195194165
SBSmc1,0.5167055289,0.1586558945,0.1363470744,3.5368486525,0.2828093281,0.0329782558,2.0323196547
SBSmc2,22.0186668746,18.4258383257,11.8829800878,9.828351613,17.254001732,15.3181226909,13.906293076
SBSmc3,2.617475849,0.5261278877,0.0275742559,0.0310383584,0.6405818343,0.7106952689,0.705291269
SBSmh,1.0809385441,0.033255384,0.1337143565,0.652636911,0.8839003939,0.0004156923,2.7292970777
SBSmk1,13.9736352286,0.0054039999,0.9095347524,0.9208970086,0.0009699487,0.0012470769,1.2017664393
SBSmk2,3.9082004405,,0.5496837847,0.5765652201,0.0105308716,,0.3520913781
SBSmm,0.7075082946,0.0004156923,0.0002771282,0.0191218458,,0.0031869743,0.2747726103
SBSmw,2.1941625235,0.8726767018,0.5187839904,1.7499260189,0.7500474733,,1.6570880719
SBSun,2.9828693807,10.9358944643,5.7378008169,8.8553545028,8.6760525574,13.4071851878,7.3027437623
SBSvk,5.042347599,0.0929765111,0.141335382,0.1646141508,0.1326058437,0.1374555872,0.0760716909
SBSwk1,7.8557530854,0.6601193724,1.6178744316,1.4351083837,1.2037063367,0.0088681024,1.0205245965
SBSwk2,5.0944477006,0.0336710763,0.4619727094,0.0652636911,0.1148696389,0.0684506654,0.0087295383
SBSwk3,4.4502631997,1.1838916704,3.5048403454,2.4947080564,2.4875027232,0.0724690243,3.0619894818
SBSwk3a,0.4421580431,,0.0001385641,0.2386073802,,,0.0006928205
SWBmk,41.9806268129,17.6958826469,7.4480975032,4.6049007353,13.0107532977,13.2256662168,12.1466675701
SWBmks,16.2531532377,6.3165830626,4.6955216567,5.1946295449,6.2801407043,7.181777303,8.7000241467
SWBun,15.7079035042,6.9537007944,4.7671592964,9.0065279359,9.0361806533,5.3006310814,13.6728125675
SWBuns,9.8458106896,3.5397584986,3.1896070179,3.8319901855,3.6301022918,2.5637129782,4.5806520178
SWBvk,1.4421751528,1.5850347399,1.0486531088,1.2146529006,1.4292886915,1.1137782358,0.8869488041
SWBvks,1.3255041806,0.9486098286,0.5988740402,0.5438640925,1.0878667491,0.1651684072,0.6608121929
WJPxm_OR,,,0.0015242051,,,,
